编号,名字,武器,盾牌,帽子,衣服,手套,靴子,腰带,戒指,项链,加生命,加防御,加攻击力,加力量,加敏捷,加抗性,等级改变加防御,等级加攻击力
ID,NAME,,,,,,,,,,,,,,,,VAR_DEF,VAR_ATK
901,马维娜的战斗诗歌,1506,,1181,1134,1229,,1085,,,,100,,20,30,50,4,
902,娜塔亚的非难,1033,,1251,1129,,1146,,,,,350,,,,50,,
903,不朽之王,1297,,1068,1138,1230,1148,1088,,,150,385,364,0,0,50,,
904,华宁的威严,1539,,1250,1114,,,1081,,,0,200,0,,,30,1.5,
905,塔格奥的化身,1307,,1259,1122,1228,,1092,,,,200,,,,50,,
906,塔拉夏的外袍,1394,,1249,1136,,,1086,,1012,160,150,,,,50,,
907,牛魔王之皮甲,,,1244,1097,,1533,,,,0,100,,20,,25,,
908,卡珊的陷阱,1418,,1529,1101,,,,1357,1006,158,64,17,10,,20,2,
909,沙撒璧的雄伟贡品,1464,,1247,1132,,,,,,240,,,,,30,,
910,娜吉的古代遗迹,1427,,1178,1135,,,,,,10,175,,20,15,50,,
911,艾尔多的守卫,1286,,1213,1137,,1147,,,,15,0,0,15,15,50,,
912,山德的愚行,1486,,1236,,1222,1140,,,,90,57,,,,,1,
913,格瑞斯华尔德的传奇,1366,1328,1258,1123,,,,,,150,0,100,20,30,50,,
914,天上的衣服,1432,,,1519,,,,1356,1004,75,150,8,,10,25,,1
915,阿卡娜的诡计,1419,,1521,1520,,,,,1005,50,100,,,,8,3,
916,北极装置,1160,,,1522,1523,,1524,,,50,,,5,10,,3,1
917,狂战士的军火库,1036,,1526,1525,,,,,,50,75,20,,,,3,
918,布尔凯索的孩子,1527,1528,,,,,,,,,25,120,,,,,
919,希弗柏的法衣,1359,1530,,,,,,,1007,,,12,15,,13,,1
920,克雷得劳的支柱,1436,1531,,,1532,,,,,,100,,,,15,,1.25
921,死亡的伪装,1437,,,,1534,,1535,,,,,10,,,25,,
922,天堂的信徒,1293,1384,1256,1115,,,,,,20,,,,,50,,1.5
923,哈斯拉柏的防御,,1536,,,,1538,1537,,,,,10,,,25,2.5,
924,地狱工具,1540,,1542,,,,1541,,,,,8,,,,2,
925,依雷撒的精洗炉,,,1544,,1545,,1543,,1008,,50,,,15,20,2,
926,依森哈德的武器室,1435,1547,1548,1546,,,,,,,,,10,10,10,2,
927,米拉伯佳的雪茄,1360,1550,1551,1547,,,,,,50,256,20,,,15,,
928,孤儿的呼唤,,1370,1248,,1227,,1552,,,85,100,,20,10,15,,
929,西刚的全套刀剑,,1553,1557,,1555,1556,1554,,,,107,36,,,,2,
930,坦克雷的战斗工具,1037,,1558,1559,,1560,,1009,,,,15,,,10,2,
931,门徒,,,,1124,1231,1144,1091,,1011,,150,22,10,,50,,
932,维达拉的配备,1159,,,1561,,1562,,,1010,,,30,10,15,8,2.5,
